code,tl2 region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
  FR1, Île-de-France,670944,681023,691975,693110,705669,721183,732871,760866,771065,747861,783704,789251,799340,810874,817833,830399,843643,863116,884264,907527,826560
  FRB, Centre - Val de Loire,81845.3,83405.6,83732,84204.1,86420.5,86725.6,88304.6,89877.6,87184.2,85013.6,85744.7,87267.8,86955.6,86899.5,86879.1,87517.1,87398.9,89025.8,90068.6,90195.5,83312.1
  FRC, Bourgogne-Franche-Comté,89374.7,90322.1,90554.7,90413.6,92841,92461.5,93793.1,96331.8,96178.3,92328.7,91295.9,93409.9,91096.9,90778.6,91891.8,91996.7,91590,94046.1,94904.6,95075.7,87950
  FRD, Normandy,105567,105942,106645,108026,110840,111231,113051,115744,115105,110867,112547,115017,114327,114526,114178,113840,114024,114322,114816,115175,104877
  FRE, Hauts-de-France,174002,175807,177823,179797,182773,184623,188515,193034,194632,188000,188627,192862,191281,191867,192495,194683,194568,199750,201558,206987,188140
  FRF, Grand Est,182469,183275,183523,183517,189316,188574,191347,195737,194330,186956,185283,190310,186568,187248,188199,188303,187973,192459,194793,194457,177850
  FRG, Pays de la Loire,108274,111733,113281,114972,117818,119937,122350,125694,127966,123901,123810,129370,129560,130722,132554,134694,136511,139892,142352,145218,135204
  FRH, Brittany,93904.5,95838.7,96732.9,98340,103626,106041,108670,110029,107829,104397,104440,108020,108398,109316,111268,112976,114850,118450,119748,122167,116000
  FRI, Nouvelle-Aquitaine,169165,174836,178552,179880,183799,186958,192418,196599,193081,190212,191948,198011,198809,198563,201406,203218,205142,209313,213995,217105,200330
  FRJ, Occitanie,149602,156330,159010,162401,168073,173166,181244,182419,183264,181225,181516,187863,189976,191117,194585,197308,200343,204252,209080,213048,196411
  FRK, Auvergne-Rhône-Alpes,256758,261146,261476,263444,275127,278872,288233,293322,296659,286073,290455,300833,300430,301758,305072,309084,314724,323450,330643,338124,312979
  FRL, Provence-Alpes-Côte d’Azur,154958,159994,161396,164401,171379,176324,181584,183436,182223,179077,185184,187148,190369,188516,190091,191226,193298,197805,201101,204493,187745
  FRM, Corsica,7302.66,7609.97,7680.74,7892.28,8175.86,8525.24,8945.15,8941.91,9525.25,9794.3,9823.86,10238.9,10256.5,10335.7,10433.5,10661.5,10746.7,11083.8,11378.8,11256.5,10271.9
