,Code,Country,Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
0,UKC,GBR,North East England,26956,27648,28910,29750,31169,31535,32242,32071,31739,30733,30894,31007,31157,30944,31353,32212,32198,32186,32320,32768,29408
1,UKD,GBR,North West England,31484,32623,33507,34409,35218,35664,36519,36756,36039,34964,35352,35183,35390,35824,36597,37685,38306,38903,38981,39752,35961
2,UKE,GBR,Yorkshire and The Humber,30325,31012,31989,33174,33916,34229,34714,35446,34402,32930,32826,32868,32963,33071,33538,34724,34782,35465,35827,36208,32703
3,UKF,GBR,East Midlands,31269,31769,32263,32837,33240,33602,34355,34469,34073,32372,33090,33048,33384,33871,34417,35024,35182,35394,35960,36479,33031
4,UKG,GBR,West Midlands,31774,32218,32750,33420,33989,34252,34423,34312,33879,31969,32626,33003,33258,33912,34704,35602,36340,36907,37218,37256,33448
5,UKH,GBR,East of England,35119,35960,36555,37647,37741,38367,38939,39087,38699,36659,36692,36287,36450,37001,38092,38968,39662,41002,40751,41136,37132
6,UKI,GBR,Greater London,61102,61066,61425,63032,64434,66832,68099,71612,70128,66081,67017,67983,68736,69985,72568,73960,76166,76377,77232,77610,71237
7,UKJ,GBR,South East England,41212,41720,42673,43447,43570,44085,44564,45032,45072,43036,43623,43793,44210,44649,45514,46672,46786,47035,47414,48362,43928
8,UKK,GBR,South West England,33160,33943,34634,35419,36214,36439,36903,37166,37005,35572,36249,36103,36359,36534,37613,37913,38314,39102,39186,39639,35650
9,UKL,GBR,Wales,27289,27545,28156,29118,29860,30073,30810,30895,29911,28737,29174,29859,30220,30668,30964,31681,32309,32591,33202,33796,30392
10,UKM,GBR,Scotland,32572,33650,34444,35545,36730,37641,38958,39330,39370,38023,37675,37973,38342,39198,40216,40418,40243,40933,40945,41348,37708
11,UKN,GBR,Northern Ireland,30180,30707,31111,32547,33012,33668,34612,34647,33547,32098,31524,31718,32236,32276,32716,33582,34452,34887,35103,35671,32549
